City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
224,Eyl,SO,78.39,scattered clouds,7.9803,49.8164,Amiin Hotel
225,Ransang,PH,86.61,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
230,Gat,IL,77.68,clear sky,31.61,34.7642,OlusHome
231,Dingle,PH,87.66,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
232,Cairns,AU,88.07,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
235,Robertsport,LR,76.41,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
240,Salalah,OM,75.29,mist,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
248,Xacmaz,AZ,77.83,clear sky,41.4635,48.806,Ulduz Hotel
249,Nantucket,US,77.11,mist,41.2835,-70.0995,Jared Coffin House
258,Payo,ID,88.54,few clouds,-3.7508,103.6372,Mess keban agung
262,Meulaboh,ID,84.27,light rain,4.1363,96.1285,Kost Pria
266,Adrar,MR,87.96,broken clouds,20.5022,-10.0711,NaN
270,Kudahuvadhoo,MV,81.05,moderate rain,2.6708,72.8944,Niyama Private Islands Maldives
272,Atlantic Beach,US,77.02,clear sky,30.3344,-81.3987,One Ocean Resort and Spa
274,Loa Janan,ID,87.01,broken clouds,-0.583,117.095,Kost bu jono
278,Katsuura,JP,81.36,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
280,Mahibadhoo,MV,80.65,moderate rain,3.7833,72.9667,Omadhoo Inn
283,Ozamiz,PH,87.08,broken clouds,8.1458,123.8444,Hotel de La Salle
286,Karratha,AU,78.94,clear sky,-20.7377,116.8463,ibis Styles Karratha
287,Nagato,JP,84.45,overcast clouds,34.3833,131.2,いそう庵
294,Huilong,CN,83.08,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
303,Alexandria,EG,76.96,clear sky,31.2156,29.9553,Royal Crown Hotel
304,Hamilton,US,80.67,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
305,Ushibuka,JP,80.2,overcast clouds,32.1906,130.0228,Hotei
306,Tongchuan,CN,82.63,clear sky,35.0806,109.0897,Tongchuan Hotel
308,Shihezi,CN,86.97,clear sky,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
309,Kieta,PG,84.69,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
310,Boa Vista,BR,78.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
311,Asyut,EG,77.18,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
312,Manaus,BR,79.29,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
313,Gorontalo,ID,88.11,few clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
318,Wajima,JP,81.28,broken clouds,37.4,136.9,Wajiima Onsen Yashio
319,Tomatlan,MX,79.81,broken clouds,19.9333,-105.25,El Salvial
323,Sao Felix Do Xingu,BR,75.52,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
325,Dicabisagan,PH,88.27,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
330,Diffa,NE,75.76,overcast clouds,13.3154,12.6113,ProDAF/Diffa
331,Sinnamary,GF,76.87,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
332,Itoman,JP,89.62,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
334,Guiren,CN,83.91,broken clouds,33.6697,118.1889,Suyuan Hotel
342,Sao Filipe,CV,75.18,scattered clouds,14.8961,-24.4956,Hotel Xaguate
344,Bani,DO,80.85,few clouds,18.2833,-70.3333,Hospedaje Henriquez
348,Clearlake,US,76.17,clear sky,38.9582,-122.6264,Americas Best Value Inn & Suites Clearlake Wine Country
349,Mabasa,PH,87.62,light rain,16.321,121.1262,Aragon Farm
350,Mataram,ID,85.01,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
354,Faanui,PF,77.86,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
356,Mandalgovi,MN,80.76,broken clouds,45.7625,106.2708,В.Ганбат
359,Bud,US,80.58,clear sky,39.447,-86.1758,Ted McQuinn Trust
369,Gallup,US,83.16,few clouds,35.5281,-108.7426,Quality Inn & Suites Gallup I-40 Exit 20
371,Naze,JP,88.72,overcast clouds,28.3667,129.4833,Shishime Hotel
373,Beyneu,KZ,84.79,broken clouds,45.3167,55.2,NUR
374,Guanica,PR,82.06,scattered clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
377,Kourou,GF,78.12,scattered clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
378,Cabo San Lucas,MX,89.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
379,Grand Island,US,79.2,clear sky,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
380,Atasu,KZ,84.96,overcast clouds,48.6814,71.6433,Dostyk
381,Praxedis Guerrero,MX,88.65,overcast clouds,31.3667,-106.0167,Congregación placitas de Otero
386,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
388,Ardakan,IR,87.6,clear sky,32.31,54.0175,Ardakan Hotel
392,Yakeshi,CN,83.35,clear sky,49.2833,120.7333,Longhua Hotel
394,Puerto Escondido,MX,83.23,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
396,Matina,CR,76.15,overcast clouds,10.0761,-83.2895,Hospedaje Lawson
400,Dillon,US,80.94,scattered clouds,34.4166,-79.3712,Dillon Express Inn
401,Lawrenceburg,US,82.29,scattered clouds,38.0373,-84.8966,Best Western Lawrenceburg Inn
404,Hami,CN,78.53,few clouds,42.8,93.45,Laoyutang Resort
407,Colombo,LK,84.15,broken clouds,6.9319,79.8478,Galle Face Hotel
408,Meadow Lake,US,82.13,broken clouds,34.8014,-106.5436,TumbleWeed RV Park
410,Arlit,NE,88.32,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
416,Havelock,US,84.18,clear sky,34.8791,-76.9013,Sherwood Motel
420,Kupang,ID,85.84,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
425,Djibo,BF,80.13,overcast clouds,14.1022,-1.6306,Centre Des Ressources DPENA
430,San Policarpo,PH,85.64,heavy intensity rain,12.1791,125.5072,Agapita M. Nicart
432,Malanville,BJ,78.46,light rain,11.8685,3.3899,Hotel Sejour du Sahel
438,Buala,SB,85.15,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
440,Thinadhoo,MV,80.89,overcast clouds,0.5333,72.9333,NaN
441,Bafq,IR,87.06,clear sky,31.6128,55.4107,Alamdar Hotel
445,Moussoro,TD,76.6,light rain,13.6408,16.4901,Hôtel Salama
446,Redmond,US,76.98,clear sky,47.674,-122.1215,Seattle Marriott Redmond
448,Ayagoz,KZ,84.38,scattered clouds,47.9714,80.4392,ХАН
449,Ranong,TH,76.93,moderate rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
452,Kahului,US,76.96,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
453,Rockland,US,83.84,clear sky,41.1668,-74.0496,National Camp Association
454,Turbat,PK,83.52,overcast clouds,26.0023,63.044,Mubashar Quarters
455,Cartagena,CO,78.42,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
460,Mantua,IT,78.04,clear sky,45.1667,10.7833,Hotel la Favorita
464,Portland,US,82.35,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
465,Oussouye,SN,76.71,light rain,12.485,-16.5469,Auberge du Routard
466,Bandarbeyla,SO,80.96,clear sky,9.4942,50.8122,JABIR HOTEL
467,Buhe,CN,87.03,overcast clouds,30.2876,112.2298,Jingzhou Hongmen Hotel
469,Tepalcatepec,MX,79.34,clear sky,19.1833,-102.85,Maria De Jesus
472,Kirakira,SB,84.51,scattered clouds,-10.4544,161.9205,SanBiz Lodge
473,Heihe,CN,77.58,light rain,50.2441,127.4902,Hotel Strannik
476,Mingaora,PK,81.45,overcast clouds,34.7758,72.3625,Burj Al Swat
478,Tateyama,JP,81.0,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
481,Pangai,TO,78.91,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
482,Bull Savanna,JM,75.81,clear sky,17.8868,-77.5902,Big Red's
484,Tura,IN,80.13,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
486,Port Blair,IN,84.24,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
487,Kattivakkam,IN,87.89,overcast clouds,13.2167,80.3167,Euronova Freezer
489,Kalianget,ID,83.07,few clouds,-7.05,113.9333,Pesanggrahan Garam
492,Cayenne,GF,78.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
500,Milan,IT,80.15,broken clouds,45.4643,9.1895,Hotel dei Cavalieri Milano Duomo
501,Loralai,PK,84.7,clear sky,30.3705,68.598,Saddam Hotel & Resturant
504,Damavand,IR,78.4,clear sky,35.7178,52.065,آپارتمان زمانیان
507,Trairi,BR,75.42,scattered clouds,-3.2778,-39.2689,janelas do mar
510,Atar,MR,80.22,scattered clouds,20.5169,-13.0499,Oumou Elghoura
511,Manokwari,ID,83.44,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
512,Saint Anthony,US,79.75,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
513,Surt,LY,77.83,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
516,Ceres,US,85.95,clear sky,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
517,Sampit,ID,87.67,scattered clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
525,Great Falls,US,76.41,clear sky,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
536,Aswan,EG,88.9,clear sky,24.0934,32.907,Nuba Nile
538,Agadir,MA,75.65,few clouds,30.4202,-9.5982,Iberostar Founty Beach
539,Murgab,TM,87.67,clear sky,37.4966,61.9714,Wepa Nurlyýew
546,Padang,ID,85.24,light rain,-0.9492,100.3543,Mercure Padang
553,Palmer,US,79.97,clear sky,42.1584,-72.3287,Wedgewood Motel
555,Poum,NC,77.63,scattered clouds,-20.2333,164.0167,NaN
558,Lipari,IT,76.26,clear sky,38.4674,14.954,Hotel Villa Augustus
565,Umm Lajj,SA,86.83,scattered clouds,25.0213,37.2685,Moon light Furnished Units
566,Iralaya,HN,79.41,few clouds,15.0,-83.2333,Iglesia morava renovada
569,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
570,Mana,GF,75.69,few clouds,5.6592,-53.7767,LE SAMANA
572,Kodinar,IN,82.72,overcast clouds,20.7903,70.7031,residency of N.B vadhel
578,Isangel,VU,78.69,overcast clouds,-19.55,169.2667,Tanna Lodge
588,Tabango,PH,85.5,moderate rain,11.3077,124.373,The Compound at Burabod
589,Elizabeth City,US,80.62,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
592,Klyuchevskiy,RU,82.22,scattered clouds,53.5317,119.4519,NaN
593,Shingu,JP,86.32,broken clouds,33.7333,135.9833,Shingu UI Hotel
599,Baculin,PH,85.14,scattered clouds,7.4525,126.5842,Baculin Cove Beach Resort
604,Ayorou,NE,83.25,broken clouds,14.7308,0.9174,Hotel Amenokal
605,Pontianak,ID,89.58,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
608,Arawa,PG,85.6,overcast clouds,-6.2132,155.5367,Coastline Guest House
609,Kailua,US,84.18,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
612,Misratah,LY,78.85,clear sky,32.3754,15.0925,Almasa Hotel
615,Naifaru,MV,80.26,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
625,Icod De Los Vinos,ES,86.94,few clouds,28.3724,-16.7119,Hotel El Patio
627,Erzin,TR,80.22,clear sky,36.9559,36.2,Artemis Otel
628,Utica,US,79.74,scattered clouds,43.1009,-75.2327,Days Inn by Wyndham Utica
630,Teacapan,MX,83.35,scattered clouds,22.55,-105.75,Hotel los Mangos
632,Abnub,EG,77.22,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
637,Borogontsy,RU,81.93,overcast clouds,62.6683,131.1683,NaN
643,Ponta Delgada,PT,75.51,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
646,Basco,PH,86.0,few clouds,20.4487,121.9702,Nathaniel's Lodge
649,Labuhan,ID,86.58,scattered clouds,-6.8844,112.2051,DoubleFAG
650,Parral,MX,76.6,few clouds,26.9333,-105.6667,HOTEL LOS ARCOS PARRAL
652,Zabol,AF,85.14,clear sky,32.25,67.25,NaN
655,Mahabad,IR,86.52,clear sky,36.7631,45.7222,Afshar Hotel
656,Watertown,US,82.0,clear sky,42.3709,-71.1828,16 Washburn Street Watertown MA
658,Chitral,PK,87.62,clear sky,35.8462,71.7858,PTDC Motel Chitral
659,Tambacounda,SN,75.76,overcast clouds,13.7539,-13.7586,NaN
664,Saint-Georges,GD,80.24,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
665,Yellandu,IN,79.77,overcast clouds,17.6,80.3333,Varalaxmi
671,Ixtapa,MX,85.23,scattered clouds,20.7,-105.2,hotel la terminal
674,Corinto,GR,80.89,clear sky,37.9407,22.9573,Ephira Hotel
675,Phangnga,TH,78.84,moderate rain,8.4509,98.5298,Sunimit Mansion
676,Porto Torres,IT,82.09,clear sky,40.835,8.3972,Hotel Elisa
678,Catuday,PH,86.32,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
679,Fukue,JP,88.16,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
681,Wagar,SD,78.01,overcast clouds,16.1525,36.2032,NaN
683,Tarakan,ID,89.1,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
684,Barth,DE,75.09,broken clouds,54.3635,12.7249,Vineta Hotel Stadt Barth
688,San Patricio,US,85.86,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
689,Zhezkazgan,KZ,85.98,scattered clouds,47.8043,67.7144,Hotel Zumrat
691,Yongan,CN,87.24,clear sky,39.6957,113.6871,Beiyue International Hotel
692,Tessalit,ML,80.24,scattered clouds,20.1986,1.0114,NaN
695,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
697,Ewa Beach,US,84.15,clear sky,21.3156,-158.0072,Base Lodging
702,Roma,US,79.88,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
703,Harrisonburg,US,76.37,scattered clouds,38.4496,-78.8689,Hampton Inn Harrisonburg - University
704,Anshun,CN,75.94,broken clouds,26.25,105.9333,安顺麦吉风格酒店
707,Taoudenni,ML,89.74,broken clouds,22.6783,-3.9836,NaN
710,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
711,Ibara,JP,79.38,overcast clouds,34.6,133.4667,Guest House Matsuri
712,Roebourne,AU,80.26,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
714,Washougal,US,82.22,clear sky,45.5826,-122.3534,Camas Boutique Hotel
721,Gines,ES,75.18,clear sky,37.3868,-6.0774,Hotel YIT Vereda Real
724,Pampa,US,85.15,clear sky,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
725,Ocean Springs,US,86.02,few clouds,30.4113,-88.8278,Golden Nugget Biloxi Hotel & Casino
