City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bardiyah,LY,2022-07-17 22:25:42,31.7561,25.0865,78.37,67,0,11.65
68,Zyryanka,RU,2022-07-17 22:25:43,65.75,150.85,58.71,47,66,2.26
69,Algiers,DZ,2022-07-17 22:25:43,36.7525,3.042,71.42,88,20,3.44
70,Butaritari,KI,2022-07-17 22:25:44,3.0707,172.7902,81.86,74,75,11.59
71,Sonoita,MX,2022-07-17 22:25:44,31.85,-112.8333,100.35,28,56,13.31
72,Kisiwani,TZ,2022-07-17 22:25:45,-4.1333,37.95,65.71,78,87,2.93
73,Faanui,PF,2022-07-17 22:25:45,-16.4833,-151.75,77.29,68,83,16.64
74,Kawalu,ID,2022-07-17 22:25:45,-7.3817,108.2082,71.76,96,100,1.61
75,Shenjiamen,CN,2022-07-17 22:25:46,29.9576,122.298,77.38,95,100,8.75
76,New Norfolk,AU,2022-07-17 22:25:46,-42.7826,147.0587,36.91,82,88,4.41
77,Mar Del Plata,AR,2022-07-17 22:25:47,-38.0023,-57.5575,55.09,51,0,18.41
78,Peachtree City,US,2022-07-17 22:25:47,33.3968,-84.5958,92.17,53,40,8.05
79,Ayorou,NE,2022-07-17 22:25:47,14.7308,0.9174,88.43,47,82,9.78
80,Kitami,JP,2022-07-17 22:25:48,43.8031,143.8908,70.29,89,50,4.47
81,Sur,OM,2022-07-17 22:25:49,22.5667,59.5289,86.36,69,100,8.99
82,Ostrovnoy,RU,2022-07-17 22:25:49,68.0531,39.5131,55.27,78,74,9.17
83,Kaeo,NZ,2022-07-17 22:25:49,-35.1,173.7833,52.32,95,100,7.4
84,Kaitangata,NZ,2022-07-17 22:26:50,-46.2817,169.8464,51.1,72,88,6.31
85,Mangan,IN,2022-07-17 22:26:50,27.5167,88.5333,76.39,92,88,1.25
86,Nanortalik,GL,2022-07-17 22:26:51,60.1432,-45.2371,43.05,87,94,12.33
87,Yumen,CN,2022-07-17 22:26:51,40.2833,97.2,72.86,35,100,15.03
88,Sinnamary,GF,2022-07-17 22:26:51,5.3833,-52.95,78.69,81,85,6.15
89,Coswig,DE,2022-07-17 22:26:52,51.1333,13.5833,62.01,56,0,3.44
90,Glenwood Springs,US,2022-07-17 22:26:52,39.5505,-107.3248,97.72,21,40,0.0
91,Mangrol,IN,2022-07-17 22:26:53,21.1167,70.1167,80.55,83,100,17.0
92,Caernarfon,GB,2022-07-17 22:26:53,53.1413,-4.2702,69.53,58,98,10.36
93,Lavrentiya,RU,2022-07-17 22:26:54,65.5833,-171.0,48.33,93,100,7.81
94,Ahipara,NZ,2022-07-17 22:26:54,-35.1667,173.1667,53.65,76,98,6.53
95,Hamilton,US,2022-07-17 22:26:30,39.1834,-84.5333,74.93,94,100,6.91
96,Pasni,PK,2022-07-17 22:26:55,25.2631,63.471,85.19,82,98,18.43
97,Noyabrsk,RU,2022-07-17 22:26:55,63.1994,75.4507,54.37,74,59,10.51
98,Aktash,RU,2022-07-17 22:26:56,50.3,87.7333,42.73,92,85,4.07
99,Kavieng,PG,2022-07-17 22:26:56,-2.5744,150.7967,82.58,79,56,13.76
100,Den Helder,NL,2022-07-17 22:26:57,52.9599,4.7593,67.98,89,75,1.14
101,La Rioja,ES,2022-07-17 22:26:57,42.25,-2.5,73.18,25,6,7.45
102,Kununurra,AU,2022-07-17 22:26:57,-15.7667,128.7333,49.98,87,4,2.3
103,Narsaq,GL,2022-07-17 22:26:58,60.9167,-46.05,57.42,75,93,4.54
104,Tautira,PF,2022-07-17 22:26:58,-17.7333,-149.15,75.25,72,46,13.0
105,Orikum,AL,2022-07-17 22:26:59,40.3253,19.4714,80.11,55,3,7.43
106,Upernavik,GL,2022-07-17 22:26:59,72.7868,-56.1549,40.89,90,26,14.32
107,Smithers,CA,2022-07-17 22:24:45,54.7804,-127.1743,68.32,52,75,2.3
108,Huarmey,PE,2022-07-17 22:27:00,-10.0681,-78.1522,65.3,76,1,11.16
109,Prince Rupert,CA,2022-07-17 22:27:00,54.3161,-130.3201,58.69,79,100,4.61
110,Valparaiso,CL,2022-07-17 22:27:01,-33.0393,-71.6273,56.84,59,0,10.36
111,Baberu,IN,2022-07-17 22:27:01,25.55,80.7167,90.55,54,46,13.09
112,Bairiki,KI,2022-07-17 22:27:02,1.3292,172.9752,84.2,79,40,8.05
113,Port Elizabeth,ZA,2022-07-17 22:27:02,-33.918,25.5701,74.1,28,0,9.22
114,Manokwari,ID,2022-07-17 22:27:02,-0.8667,134.0833,76.46,81,100,3.44
115,Kangaatsiaq,GL,2022-07-17 22:27:03,68.3065,-53.4641,40.98,92,80,5.53
116,Okhotsk,RU,2022-07-17 22:27:03,59.3833,143.3,59.65,86,78,3.6
117,Kaffrine,SN,2022-07-17 22:27:03,14.1059,-15.5508,81.28,61,55,15.19
118,La Ronge,CA,2022-07-17 22:27:04,55.1001,-105.2842,79.05,31,75,13.8
119,Konyshevka,RU,2022-07-17 22:27:04,51.8418,35.2941,52.07,96,63,2.64
120,Port Hedland,AU,2022-07-17 22:27:05,-20.3167,118.5667,53.65,62,3,3.44
121,Senneterre,CA,2022-07-17 22:27:05,48.3835,-77.2328,81.3,40,65,5.19
122,Marquette,US,2022-07-17 22:27:06,46.5333,-87.6335,78.24,75,54,3.74
123,Atasu,KZ,2022-07-17 22:27:06,48.6814,71.6433,66.85,55,0,7.2
124,Tasiilaq,GL,2022-07-17 22:26:59,65.6145,-37.6368,48.36,78,70,5.57
125,El Chol,GT,2022-07-17 22:27:07,14.9642,-90.4806,81.5,66,73,4.14
126,Sola,VU,2022-07-17 22:27:08,-13.8833,167.55,79.47,89,75,5.75
127,Ronse,BE,2022-07-17 22:27:08,50.7505,3.6049,69.93,65,48,7.56
128,Kirakira,SB,2022-07-17 22:27:10,-10.4544,161.9205,81.21,80,67,10.04
129,Ilulissat,GL,2022-07-17 22:27:10,69.2167,-51.1,55.42,47,31,3.44
130,Xuddur,SO,2022-07-17 22:28:11,4.1213,43.8894,71.22,70,20,20.96
131,Jamestown,US,2022-07-17 22:24:32,42.097,-79.2353,72.99,85,75,4.61
132,Meulaboh,ID,2022-07-17 22:28:11,4.1363,96.1285,76.28,91,81,2.91
