City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Kavaratti,IN,10.5669,72.642,80.98,79,100,20.29,overcast clouds
81,Aripuana,BR,-9.1667,-60.6333,71.38,53,0,2.01,clear sky
82,Newtownards,GB,54.5924,-5.6909,57.15,82,100,5.75,overcast clouds
83,Plouzane,FR,48.3833,-4.6167,60.85,83,100,5.75,overcast clouds
84,Buenos Aires,AR,-34.6132,-58.3772,58.95,92,0,4.61,clear sky
85,Bushehr,IR,28.9684,50.8385,91.49,62,2,11.5,clear sky
86,Bambous Virieux,MU,-20.3428,57.7575,71.22,94,75,20.71,light intensity shower rain
87,Saint-Philippe,RE,-21.3585,55.7679,69.39,79,47,16.62,light rain
88,Gravdal,NO,68.1214,13.5031,55.18,84,100,9.98,overcast clouds
89,Saint-Joseph,RE,-21.3667,55.6167,68.38,76,20,15.93,light rain
90,Soyo,AO,-6.1349,12.3689,68.25,94,10,5.84,clear sky
91,Effium,NG,6.6292,8.0593,71.82,94,100,4.83,overcast clouds
92,Hithadhoo,MV,-0.6,73.0833,80.78,71,100,5.28,overcast clouds
93,Burnie,AU,-41.0667,145.9167,55.92,67,89,11.97,overcast clouds
94,Chute-Aux-Outardes,CA,49.1168,-68.399,58.98,88,0,2.3,clear sky
95,Albany,US,42.6001,-73.9662,81.01,72,15,4.94,few clouds
96,Hobart,AU,-42.8794,147.3294,52.27,64,20,5.75,few clouds
97,Pimentel,PE,-6.8367,-79.9342,62.15,87,15,13.8,few clouds
98,Arraial Do Cabo,BR,-22.9661,-42.0278,70.29,83,41,9.95,scattered clouds
99,Moss Point,US,30.4116,-88.5345,84.43,91,10,11.34,clear sky
100,Port Alfred,ZA,-33.5906,26.891,55.18,95,67,3.0,broken clouds
101,Galdar,ES,28.147,-15.6502,79.3,74,27,13.82,scattered clouds
102,Acapulco,MX,16.8634,-99.8901,84.02,84,40,4.61,scattered clouds
103,Roald,NO,62.5833,6.1333,60.17,88,100,5.75,overcast clouds
104,Khatanga,RU,71.9667,102.5,54.63,49,100,20.54,overcast clouds
105,Ribeira Grande,PT,38.5167,-28.7,72.41,86,7,3.4,clear sky
106,Belaya Gora,RU,68.5333,146.4167,61.29,43,19,6.82,few clouds
107,Mapimi,MX,25.8167,-103.85,84.06,26,48,6.71,scattered clouds
108,Hualmay,PE,-11.0964,-77.6139,61.23,85,48,9.64,scattered clouds
109,Den Chai,TH,17.9837,100.0522,84.27,98,100,2.04,overcast clouds
110,Jamestown,US,42.097,-79.2353,76.59,88,75,9.22,broken clouds
111,Vanimo,PG,-2.6741,141.3028,86.77,64,56,10.74,broken clouds
112,Leshukonskoye,RU,64.8989,45.7622,68.74,59,35,5.03,scattered clouds
113,Tawang,IN,27.5833,91.8667,65.07,81,100,5.75,overcast clouds
114,Kaitangata,NZ,-46.2817,169.8464,45.01,80,94,8.23,overcast clouds
115,Lynchburg,US,37.4138,-79.1423,80.74,86,0,5.75,clear sky
116,Port Elizabeth,ZA,-33.918,25.5701,52.32,94,0,5.75,clear sky
117,Sihora,IN,23.4833,80.1167,83.53,84,100,7.52,overcast clouds
118,Castro,BR,-24.7911,-50.0119,54.79,94,4,4.21,clear sky
119,Terrak,NO,65.087,12.3715,55.27,99,100,2.8,light rain
120,Chokurdakh,RU,70.6333,147.9167,59.13,28,59,9.73,broken clouds
121,Santa Cruz,BO,-17.8,-63.1667,67.46,88,55,6.91,broken clouds
122,Beringovskiy,RU,63.05,179.3167,47.41,68,87,13.82,overcast clouds
123,Tartagal,AR,-22.5164,-63.8013,63.48,69,33,1.92,scattered clouds
124,Morshansk,RU,53.4435,41.8107,56.14,97,100,2.59,moderate rain
125,Upernavik,GL,72.7868,-56.1549,48.76,67,100,7.99,overcast clouds
126,Iqaluit,CA,63.7506,-68.5145,53.33,87,100,4.61,overcast clouds
127,Aklavik,CA,68.2191,-135.0107,61.41,53,100,9.04,overcast clouds
128,Broken Hill,AU,-31.95,141.4333,49.32,90,96,17.43,overcast clouds
129,Ruteng,ID,-8.6136,120.4721,70.0,67,88,1.52,overcast clouds
130,Puerto Ayora,EC,-0.7393,-90.3518,68.56,95,75,1.01,broken clouds
131,Ugoofaaru,MV,5.6667,73.0,81.95,73,99,17.38,overcast clouds
132,Zyryanka,RU,65.75,150.85,62.29,40,63,2.68,broken clouds
133,Desaguadero,PE,-16.5656,-69.0417,40.44,47,10,1.88,clear sky
134,Sur,OM,22.5667,59.5289,86.29,70,87,8.57,overcast clouds
135,Yerbogachen,RU,61.2767,108.0108,71.49,49,50,7.76,scattered clouds
136,Chuy,UY,-33.6971,-53.4616,58.03,98,75,7.7,moderate rain
137,Champerico,GT,14.3,-91.9167,81.45,80,100,6.42,overcast clouds
